Site,Class,Image,Shapefile,Avg_BV_Band1,Avg_BV_Band2,Avg_BV_Band3
0,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,88321.375,47968.3046875,216149.546875
1,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,77214.109375,41126.0,180182.546875
2,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,17903.2480469,12638.4091797,30832.5371094
3,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,78522.2578125,50493.2929688,161542.859375
4,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,10283.9267578,7312.17285156,15161.6699219
5,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,74662.8125,39069.4375,173741.84375
6,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,30137.859375,13533.1269531,60459.3046875
7,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,27248.0566406,18410.8554688,51324.6171875
8,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,24224.9277344,16333.8642578,41254.9257813
9,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,50733.2851563,30230.171875,108242.109375
10,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,47436.0351563,23390.7460938,106289.921875
11,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,81205.4375,30751.5527344,254619.5625
12,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,11185.0957031,6828.7421875,18862.4003906
13,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,17023.2851563,10293.7871094,28150.6523438
14,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,25052.7148438,14491.1845703,57246.7304688
15,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,38775.25,20751.9550781,95294.3515625
16,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,47436.0351563,26365.0820313,120731.671875
17,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,27709.6894531,15253.9804688,53227.25
18,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,15390.9882813,11212.6259766,19208.8378906
19,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,26794.1113281,14491.1845703,50398.9570313
20,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,25477.1542969,14245.4921875,40510.875
21,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,8128.546875,5755.41113281,10926.2753906
22,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,11567.2998047,7566.57470703,16012.5136719
23,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,45104.5078125,22994.1660156,110230.15625
24,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,11374.5927734,7829.82763672,15723.7216797
25,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,25477.1542969,14245.4921875,37666.4765625
26,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,23821.3476563,14741.1142578,38358.2851563
27,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,27709.6894531,16902.1445313,53227.25
28,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,20825.5820313,13303.6777344,35021.7929688
29,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,40779.609375,23390.7460938,88603.421875
30,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,15134.5800781,9779.03222656,23466.4199219
31,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,15390.9882813,10119.2597656,23466.4199219
32,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,31695.7363281,17791.8496094,44370.3085938
33,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,13915.2060547,9779.03222656,13348.0527344
34,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,31167.6953125,14741.1142578,48597.421875
35,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,14390.7001953,9779.03222656,18188.1542969
36,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,33898.8867188,17791.8496094,44370.3085938
37,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,10458.15625,6946.51757813,18522.2089844
38,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,23034.2480469,13078.1181641,42012.640625
39,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,15134.5800781,9947.69140625,23466.4199219
40,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,74662.8125,39743.2695313,173741.84375
41,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,13915.2060547,9132.50976563,25238.4980469
42,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,67503.6875,32928.5625,142219.34375
43,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,33334.140625,20054.2382813,65024.9140625
44,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,15390.9882813,11602.7304688,19920.921875
45,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,22650.5058594,14741.1142578,40510.875
46,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,27248.0566406,18098.7070313,45185.2421875
47,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,12371.3359375,9450.24316406,17538.0097656
